Source,Target,Value
"""Abbott, Diane""","""Department for International Development""",34
"""Abbott, Diane""","""Department for Work and Pensions""",1
"""Abbott, Diane""","""Department of Energy and Climate Change""",3
"""Abbott, Diane""","""Foreign and Commonwealth Office""",3
"""Abbott, Diane""","""Home Office""",7
"""Abrahams, Debbie""","""Cabinet Office; UK Statistics Authority""",1
"""Abrahams, Debbie""","""Communities and Local Government""",4
"""Abrahams, Debbie""","""Department for Culture, Media and Sport""",4
"""Abrahams, Debbie""","""Department for Environment, Food and Rural Affairs""",1
"""Abrahams, Debbie""","""Department for Work and Pensions""",42
"""Abrahams, Debbie""","""Department of Health""",29
"""Abrahams, Debbie""","""Foreign and Commonwealth Office""",4
"""Abrahams, Debbie""","""Ministry of Defence""",1
"""Abrahams, Debbie""","""Ministry of Justice""",4
"""Abrahams, Debbie""","""Treasury""",7
"""Adams, Nigel""","""Cabinet Office; UK Statistics Authority""",1
"""Adams, Nigel""","""Department for Business, Innovation and Skills""",2
"""Adams, Nigel""","""Department for Culture, Media and Sport""",5
"""Adams, Nigel""","""Department for Environment, Food and Rural Affairs""",1
"""Adams, Nigel""","""Department of Energy and Climate Change""",2
"""Adams, Nigel""","""Department of Health""",4
"""Adams, Nigel""","""Treasury""",3
"""Afriyie, Adam""","""Department for Business, Innovation and Skills""",9
"""Afriyie, Adam""","""Department for Culture, Media and Sport""",5
"""Afriyie, Adam""","""Department for Education""",4
"""Afriyie, Adam""","""Department for Environment, Food and Rural Affairs""",4
"""Afriyie, Adam""","""Department for International Development""",2
"""Afriyie, Adam""","""Department for Transport""",9
"""Afriyie, Adam""","""Department for Work and Pensions""",1
"""Afriyie, Adam""","""Department of Energy and Climate Change""",11
"""Afriyie, Adam""","""Department of Health""",2
"""Afriyie, Adam""","""Foreign and Commonwealth Office""",2
"""Afriyie, Adam""","""Home Office""",1
"""Afriyie, Adam""","""Treasury""",10
"""Ahmed-Sheikh, Tasmina""","""Department for Business, Innovation and Skills""",8
"""Ahmed-Sheikh, Tasmina""","""Department for International Development""",4
"""Ahmed-Sheikh, Tasmina""","""Department for Work and Pensions""",3
"""Ahmed-Sheikh, Tasmina""","""Department of Energy and Climate Change""",2
"""Ahmed-Sheikh, Tasmina""","""Foreign and Commonwealth Office""",7
"""Ahmed-Sheikh, Tasmina""","""Home Office""",3
"""Ahmed-Sheikh, Tasmina""","""Minister for Women and Equalities""",1
"""Ahmed-Sheikh, Tasmina""","""Ministry of Defence""",2
"""Ahmed-Sheikh, Tasmina""","""Ministry of Justice""",1
"""Ahmed-Sheikh, Tasmina""","""Scotland Office""",1
"""Ahmed-Sheikh, Tasmina""","""Treasury""",4
"""Aldous, Peter""","""Department for Business, Innovation and Skills""",1
"""Aldous, Peter""","""Department for Environment, Food and Rural Affairs""",1
"""Alexander, Heidi""","""Department for Transport""",1
"""Alexander, Heidi""","""Department of Health""",60
"""Alexander, Heidi""","""Foreign and Commonwealth Office""",3
"""Ali, Rushanara""","""Cabinet Office""",2
"""Ali, Rushanara""","""Department for Business, Innovation and Skills""",2
"""Ali, Rushanara""","""Department for Education""",4
"""Ali, Rushanara""","""Department for International Development""",5
"""Ali, Rushanara""","""Department for Transport""",1
"""Ali, Rushanara""","""Department for Work and Pensions""",4
"""Ali, Rushanara""","""Department of Energy and Climate Change""",6
"""Ali, Rushanara""","""Department of Health""",4
"""Ali, Rushanara""","""Foreign and Commonwealth Office""",1
"""Ali, Rushanara""","""Home Office""",3
"""Ali, Rushanara""","""Treasury""",4
"""Allan, Lucy""","""Department for Business, Innovation and Skills""",1
"""Allan, Lucy""","""Department for International Development""",1
